R1,R2,SampleDate,PlotNr,Microhabitat,Surface_Subsurface,Grass_Interspace,Notes,Treatment,,
A23_35SG_S412_L001_R1_001.fastq.gz,A23_35SG_S412_L001_R2_001.fastq.gz,Aug_2023,35,SG,S,G,,Control,,
A23_35SI_S414_L001_R1_001.fastq.gz,A23_35SI_S414_L001_R2_001.fastq.gz,Aug_2023,35,SI,S,I,,Control,,
A23_35SSG_S413_L001_R1_001.fastq.gz,A23_35SSG_S413_L001_R2_001.fastq.gz,Aug_2023,35,SSG,SS,G,,Control,,
A23_35SSI_S415_L001_R1_001.fastq.gz,A23_35SSI_S415_L001_R2_001.fastq.gz,Aug_2023,35,SSI,SS,I,,Control,,
A23_36SG_S416_L001_R1_001.fastq.gz,A23_36SG_S416_L001_R2_001.fastq.gz,Aug_2023,36,SG,S,G,,P+Water,,
A23_36SI_S418_L001_R1_001.fastq.gz,A23_36SI_S418_L001_R2_001.fastq.gz,Aug_2023,36,SI,S,I,,P+Water,,
A23_36SSG_S417_L001_R1_001.fastq.gz,A23_36SSG_S417_L001_R2_001.fastq.gz,Aug_2023,36,SSG,SS,G,,P+Water,,
A23_36SSI_S419_L001_R1_001.fastq.gz,A23_36SSI_S419_L001_R2_001.fastq.gz,Aug_2023,36,SSI,SS,I,,P+Water,,
A23_37SG_S420_L001_R1_001.fastq.gz,A23_37SG_S420_L001_R2_001.fastq.gz,Aug_2023,37,SG,S,G,,N+P,,
A23_37SI_S422_L001_R1_001.fastq.gz,A23_37SI_S422_L001_R2_001.fastq.gz,Aug_2023,37,SI,S,I,,N+P,,
A23_37SSG_S421_L001_R1_001.fastq.gz,A23_37SSG_S421_L001_R2_001.fastq.gz,Aug_2023,37,SSG,SS,G,,N+P,,
A23_37SSI_S423_L001_R1_001.fastq.gz,A23_37SSI_S423_L001_R2_001.fastq.gz,Aug_2023,37,SSI,SS,I,,N+P,,
A23_3SG_S332_L001_R1_001.fastq.gz,A23_3SG_S332_L001_R2_001.fastq.gz,Aug_2023,3,SG,S,G,,Water,,
A23_3SI_S334_L001_R1_001.fastq.gz,A23_3SI_S334_L001_R2_001.fastq.gz,Aug_2023,3,SI,S,I,,Water,,
A23_3SSG_S333_L001_R1_001.fastq.gz,A23_3SSG_S333_L001_R2_001.fastq.gz,Aug_2023,3,SSG,SS,G,,Water,,
A23_3SSI_S335_L001_R1_001.fastq.gz,A23_3SSI_S335_L001_R2_001.fastq.gz,Aug_2023,3,SSI,SS,I,,Water,,
A23_41SG_S424_L001_R1_001.fastq.gz,A23_41SG_S424_L001_R2_001.fastq.gz,Aug_2023,41,SG,S,G,,P+Water,,
A23_41SI_S426_L001_R1_001.fastq.gz,A23_41SI_S426_L001_R2_001.fastq.gz,Aug_2023,41,SI,S,I,,P+Water,,
A23_41SSG_S425_L001_R1_001.fastq.gz,A23_41SSG_S425_L001_R2_001.fastq.gz,Aug_2023,41,SSG,SS,G,,P+Water,,
A23_41SSI_S427_L001_R1_001.fastq.gz,A23_41SSI_S427_L001_R2_001.fastq.gz,Aug_2023,41,SSI,SS,I,,P+Water,,
A23_49SG_S428_L001_R1_001.fastq.gz,A23_49SG_S428_L001_R2_001.fastq.gz,Aug_2023,49,SG,S,G,,P+Water,,
A23_49SI_S430_L001_R1_001.fastq.gz,A23_49SI_S430_L001_R2_001.fastq.gz,Aug_2023,49,SI,S,I,,P+Water,,
A23_49SSG_S429_L001_R1_001.fastq.gz,A23_49SSG_S429_L001_R2_001.fastq.gz,Aug_2023,49,SSG,SS,G,,P+Water,,
A23_49SSI_S431_L001_R1_001.fastq.gz,A23_49SSI_S431_L001_R2_001.fastq.gz,Aug_2023,49,SSI,SS,I,,P+Water,,
A23_4SG_S336_L001_R1_001.fastq.gz,A23_4SG_S336_L001_R2_001.fastq.gz,Aug_2023,4,SG,S,G,,N+P+Water,,
A23_4SI_S338_L001_R1_001.fastq.gz,A23_4SI_S338_L001_R2_001.fastq.gz,Aug_2023,4,SI,S,I,,N+P+Water,,
A23_4SSG_S337_L001_R1_001.fastq.gz,A23_4SSG_S337_L001_R2_001.fastq.gz,Aug_2023,4,SSG,SS,G,,N+P+Water,,
A23_4SSI_S339_L001_R1_001.fastq.gz,A23_4SSI_S339_L001_R2_001.fastq.gz,Aug_2023,4,SSI,SS,I,,N+P+Water,,
A23_52SG_S432_L001_R1_001.fastq.gz,A23_52SG_S432_L001_R2_001.fastq.gz,Aug_2023,52,SG,S,G,,N+P,,
A23_52SI_S434_L001_R1_001.fastq.gz,A23_52SI_S434_L001_R2_001.fastq.gz,Aug_2023,52,SI,S,I,,N+P,,
A23_52SSG_S433_L001_R1_001.fastq.gz,A23_52SSG_S433_L001_R2_001.fastq.gz,Aug_2023,52,SSG,SS,G,,N+P,,
A23_52SSI_S435_L001_R1_001.fastq.gz,A23_52SSI_S435_L001_R2_001.fastq.gz,Aug_2023,52,SSI,SS,I,,N+P,,
A23_53SG_S436_L001_R1_001.fastq.gz,A23_53SG_S436_L001_R2_001.fastq.gz,Aug_2023,53,SG,S,G,,Control,,
A23_53SI_S438_L001_R1_001.fastq.gz,A23_53SI_S438_L001_R2_001.fastq.gz,Aug_2023,53,SI,S,I,,Control,,
A23_53SSG_S437_L001_R1_001.fastq.gz,A23_53SSG_S437_L001_R2_001.fastq.gz,Aug_2023,53,SSG,SS,G,,Control,,
A23_53SSI_S439_L001_R1_001.fastq.gz,A23_53SSI_S439_L001_R2_001.fastq.gz,Aug_2023,53,SSI,SS,I,,Control,,
A23_54SG_S440_L001_R1_001.fastq.gz,A23_54SG_S440_L001_R2_001.fastq.gz,Aug_2023,54,SG,S,G,,N+P,,
A23_54SI_S442_L001_R1_001.fastq.gz,A23_54SI_S442_L001_R2_001.fastq.gz,Aug_2023,54,SI,S,I,,N+P,,
A23_54SSG_S441_L001_R1_001.fastq.gz,A23_54SSG_S441_L001_R2_001.fastq.gz,Aug_2023,54,SSG,SS,G,,N+P,,
A23_54SSI_S443_L001_R1_001.fastq.gz,A23_54SSI_S443_L001_R2_001.fastq.gz,Aug_2023,54,SSI,SS,I,,N+P,,
A23_55SG_S444_L001_R1_001.fastq.gz,A23_55SG_S444_L001_R2_001.fastq.gz,Aug_2023,55,SG,S,G,,N,,
A23_55SI_S446_L001_R1_001.fastq.gz,A23_55SI_S446_L001_R2_001.fastq.gz,Aug_2023,55,SI,S,I,,N,,
A23_55SSG_S445_L001_R1_001.fastq.gz,A23_55SSG_S445_L001_R2_001.fastq.gz,Aug_2023,55,SSG,SS,G,,N,,
A23_55SSI_S447_L001_R1_001.fastq.gz,A23_55SSI_S447_L001_R2_001.fastq.gz,Aug_2023,55,SSI,SS,I,,N,,
A23_56SG_S448_L001_R1_001.fastq.gz,A23_56SG_S448_L001_R2_001.fastq.gz,Aug_2023,56,SG,S,G,,N,,
A23_56SI_S450_L001_R1_001.fastq.gz,A23_56SI_S450_L001_R2_001.fastq.gz,Aug_2023,56,SI,S,I,,N,,
A23_56SSG_S449_L001_R1_001.fastq.gz,A23_56SSG_S449_L001_R2_001.fastq.gz,Aug_2023,56,SSG,SS,G,,N,,
A23_56SSI_S451_L001_R1_001.fastq.gz,A23_56SSI_S451_L001_R2_001.fastq.gz,Aug_2023,56,SSI,SS,I,,N,,
A23_57SG_S452_L001_R1_001.fastq.gz,A23_57SG_S452_L001_R2_001.fastq.gz,Aug_2023,57,SG,S,G,,P,,
A23_57SI_S454_L001_R1_001.fastq.gz,A23_57SI_S454_L001_R2_001.fastq.gz,Aug_2023,57,SI,S,I,,P,,
A23_57SSG_S453_L001_R1_001.fastq.gz,A23_57SSG_S453_L001_R2_001.fastq.gz,Aug_2023,57,SSG,SS,G,,P,,
A23_57SSI_S455_L001_R1_001.fastq.gz,A23_57SSI_S455_L001_R2_001.fastq.gz,Aug_2023,57,SSI,SS,I,,P,,
A23_58SG_S456_L001_R1_001.fastq.gz,A23_58SG_S456_L001_R2_001.fastq.gz,Aug_2023,58,SG,S,G,,Control,,
A23_58SI_S458_L001_R1_001.fastq.gz,A23_58SI_S458_L001_R2_001.fastq.gz,Aug_2023,58,SI,S,I,,Control,,
A23_58SSG_S457_L001_R1_001.fastq.gz,A23_58SSG_S457_L001_R2_001.fastq.gz,Aug_2023,58,SSG,SS,G,,Control,,
A23_58SSI_S459_L001_R1_001.fastq.gz,A23_58SSI_S459_L001_R2_001.fastq.gz,Aug_2023,58,SSI,SS,I,,Control,,
A23_59SG_S460_L001_R1_001.fastq.gz,A23_59SG_S460_L001_R2_001.fastq.gz,Aug_2023,59,SG,S,G,,Water,,
A23_59SI_S462_L001_R1_001.fastq.gz,A23_59SI_S462_L001_R2_001.fastq.gz,Aug_2023,59,SI,S,I,,Water,,
A23_59SSG_S461_L001_R1_001.fastq.gz,A23_59SSG_S461_L001_R2_001.fastq.gz,Aug_2023,59,SSG,SS,G,,Water,,
A23_59SSI_S463_L001_R1_001.fastq.gz,A23_59SSI_S463_L001_R2_001.fastq.gz,Aug_2023,59,SSI,SS,I,,Water,,
A23_5SG_S340_L001_R1_001.fastq.gz,A23_5SG_S340_L001_R2_001.fastq.gz,Aug_2023,5,SG,S,G,,Water,,
A23_5SI_S342_L001_R1_001.fastq.gz,A23_5SI_S342_L001_R2_001.fastq.gz,Aug_2023,5,SI,S,I,,Water,,
A23_5SSG_S341_L001_R1_001.fastq.gz,A23_5SSG_S341_L001_R2_001.fastq.gz,Aug_2023,5,SSG,SS,G,,Water,,
A23_5SSI_S343_L001_R1_001.fastq.gz,A23_5SSI_S343_L001_R2_001.fastq.gz,Aug_2023,5,SSI,SS,I,,Water,,
A23_60SG_S464_L001_R1_001.fastq.gz,A23_60SG_S464_L001_R2_001.fastq.gz,Aug_2023,60,SG,S,G,,N+P+Water,,
A23_60SI_S466_L001_R1_001.fastq.gz,A23_60SI_S466_L001_R2_001.fastq.gz,Aug_2023,60,SI,S,I,,N+P+Water,,
A23_60SSG_S465_L001_R1_001.fastq.gz,A23_60SSG_S465_L001_R2_001.fastq.gz,Aug_2023,60,SSG,SS,G,,N+P+Water,,
A23_60SSI_S467_L001_R1_001.fastq.gz,A23_60SSI_S467_L001_R2_001.fastq.gz,Aug_2023,60,SSI,SS,I,,N+P+Water,,
A23_61SG_S468_L001_R1_001.fastq.gz,A23_61SG_S468_L001_R2_001.fastq.gz,Aug_2023,61,SG,S,G,,N+P,,
A23_61SI_S470_L001_R1_001.fastq.gz,A23_61SI_S470_L001_R2_001.fastq.gz,Aug_2023,61,SI,S,I,,N+P,,
A23_61SSG_S469_L001_R1_001.fastq.gz,A23_61SSG_S469_L001_R2_001.fastq.gz,Aug_2023,61,SSG,SS,G,,N+P,,
A23_61SSI_S471_L001_R1_001.fastq.gz,A23_61SSI_S471_L001_R2_001.fastq.gz,Aug_2023,61,SSI,SS,I,,N+P,,
A23_62SG_S472_L001_R1_001.fastq.gz,A23_62SG_S472_L001_R2_001.fastq.gz,Aug_2023,62,SG,S,G,,N+Water,,
A23_62SI_S474_L001_R1_001.fastq.gz,A23_62SI_S474_L001_R2_001.fastq.gz,Aug_2023,62,SI,S,I,,N+Water,,
A23_62SSG_S473_L001_R1_001.fastq.gz,A23_62SSG_S473_L001_R2_001.fastq.gz,Aug_2023,62,SSG,SS,G,,N+Water,,
A23_62SSI_S475_L001_R1_001.fastq.gz,A23_62SSI_S475_L001_R2_001.fastq.gz,Aug_2023,62,SSI,SS,I,,N+Water,,
A23_63SG_S476_L001_R1_001.fastq.gz,A23_63SG_S476_L001_R2_001.fastq.gz,Aug_2023,63,SG,S,G,,N,,
A23_63SI_S478_L001_R1_001.fastq.gz,A23_63SI_S478_L001_R2_001.fastq.gz,Aug_2023,63,SI,S,I,,N,,
A23_63SSG_S477_L001_R1_001.fastq.gz,A23_63SSG_S477_L001_R2_001.fastq.gz,Aug_2023,63,SSG,SS,G,,N,,
A23_63SSI_S479_L001_R1_001.fastq.gz,A23_63SSI_S479_L001_R2_001.fastq.gz,Aug_2023,63,SSI,SS,I,,N,,
A23_64SG_S480_L001_R1_001.fastq.gz,A23_64SG_S480_L001_R2_001.fastq.gz,Aug_2023,64,SG,S,G,,P+Water,,
A23_64SI_S482_L001_R1_001.fastq.gz,A23_64SI_S482_L001_R2_001.fastq.gz,Aug_2023,64,SI,S,I,,P+Water,,
A23_64SSG_S481_L001_R1_001.fastq.gz,A23_64SSG_S481_L001_R2_001.fastq.gz,Aug_2023,64,SSG,SS,G,,P+Water,,
A23_64SSI_S483_L001_R1_001.fastq.gz,A23_64SSI_S483_L001_R2_001.fastq.gz,Aug_2023,64,SSI,SS,I,,P+Water,,
A23_6SG_S344_L001_R1_001.fastq.gz,A23_6SG_S344_L001_R2_001.fastq.gz,Aug_2023,6,SG,S,G,,N+P+Water,,
A23_6SI_S346_L001_R1_001.fastq.gz,A23_6SI_S346_L001_R2_001.fastq.gz,Aug_2023,6,SI,S,I,,N+P+Water,,
A23_6SSG_S345_L001_R1_001.fastq.gz,A23_6SSG_S345_L001_R2_001.fastq.gz,Aug_2023,6,SSG,SS,G,,N+P+Water,,
A23_6SSI_S347_L001_R1_001.fastq.gz,A23_6SSI_S347_L001_R2_001.fastq.gz,Aug_2023,6,SSI,SS,I,,N+P+Water,,
A23_7SG_S348_L001_R1_001.fastq.gz,A23_7SG_S348_L001_R2_001.fastq.gz,Aug_2023,7,SG,S,G,,P,,
A23_7SI_S350_L001_R1_001.fastq.gz,A23_7SI_S350_L001_R2_001.fastq.gz,Aug_2023,7,SI,S,I,,P,,
A23_7SSG_S349_L001_R1_001.fastq.gz,A23_7SSG_S349_L001_R2_001.fastq.gz,Aug_2023,7,SSG,SS,G,,P,,
A23_7SSI_S351_L001_R1_001.fastq.gz,A23_7SSI_S351_L001_R2_001.fastq.gz,Aug_2023,7,SSI,SS,I,,P,,
A23_8SG_S352_L001_R1_001.fastq.gz,A23_8SG_S352_L001_R2_001.fastq.gz,Aug_2023,8,SG,S,G,,P,,
A23_8SI_S354_L001_R1_001.fastq.gz,A23_8SI_S354_L001_R2_001.fastq.gz,Aug_2023,8,SI,S,I,,P,,
A23_8SSG_S353_L001_R1_001.fastq.gz,A23_8SSG_S353_L001_R2_001.fastq.gz,Aug_2023,8,SSG,SS,G,,P,,
A23_8SSI_S355_L001_R1_001.fastq.gz,A23_8SSI_S355_L001_R2_001.fastq.gz,Aug_2023,8,SSI,SS,I,,P,,
A23_9SG_S356_L001_R1_001.fastq.gz,A23_9SG_S356_L001_R2_001.fastq.gz,Aug_2023,9,SG,S,G,,N+Water,,
A23_9SI_S358_L001_R1_001.fastq.gz,A23_9SI_S358_L001_R2_001.fastq.gz,Aug_2023,9,SI,S,I,,N+Water,,
A23_9SSG_S357_L001_R1_001.fastq.gz,A23_9SSG_S357_L001_R2_001.fastq.gz,Aug_2023,9,SSG,SS,G,,N+Water,,
A23_9SSI_S359_L001_R1_001.fastq.gz,A23_9SSI_S359_L001_R2_001.fastq.gz,Aug_2023,9,SSI,SS,I,,N+Water,,
