R1,R2,SampleDate,PlotNr,Microhabitat,Surface_Subsurface,Grass_Interspace,Notes,Treatment,,
F23_31SSI_S567_L001_R1_001.fastq.gz,F23_31SSI_S567_L001_R2_001.fastq.gz,Feb_2023,31,SSI,SS,I,,N+Water,,
F23_34SG_S568_L001_R1_001.fastq.gz,F23_34SG_S568_L001_R2_001.fastq.gz,Feb_2023,34,SG,S,G,,N,,
F23_34SI_S570_L001_R1_001.fastq.gz,F23_34SI_S570_L001_R2_001.fastq.gz,Feb_2023,34,SI,S,I,,N,,
F23_34SSG_S569_L001_R1_001.fastq.gz,F23_34SSG_S569_L001_R2_001.fastq.gz,Feb_2023,34,SSG,SS,G,,N,,
F23_34SSI_S571_L001_R1_001.fastq.gz,F23_34SSI_S571_L001_R2_001.fastq.gz,Feb_2023,34,SSI,SS,I,,N,,
F23_35SG_S572_L001_R1_001.fastq.gz,F23_35SG_S572_L001_R2_001.fastq.gz,Feb_2023,35,SG,S,G,,Control,,
F23_35SI_S574_L001_R1_001.fastq.gz,F23_35SI_S574_L001_R2_001.fastq.gz,Feb_2023,35,SI,S,I,,Control,,
F23_35SSG_S573_L001_R1_001.fastq.gz,F23_35SSG_S573_L001_R2_001.fastq.gz,Feb_2023,35,SSG,SS,G,,Control,,
F23_35SSI_S575_L001_R1_001.fastq.gz,F23_35SSI_S575_L001_R2_001.fastq.gz,Feb_2023,35,SSI,SS,I,,Control,,
F23_36SG_S576_L001_R1_001.fastq.gz,F23_36SG_S576_L001_R2_001.fastq.gz,Feb_2023,36,SG,S,G,,P+Water,,
F23_36SI_S578_L001_R1_001.fastq.gz,F23_36SI_S578_L001_R2_001.fastq.gz,Feb_2023,36,SI,S,I,,P+Water,,
F23_36SSG_S577_L001_R1_001.fastq.gz,F23_36SSG_S577_L001_R2_001.fastq.gz,Feb_2023,36,SSG,SS,G,,P+Water,,
F23_36SSI_S579_L001_R1_001.fastq.gz,F23_36SSI_S579_L001_R2_001.fastq.gz,Feb_2023,36,SSI,SS,I,,P+Water,,
F23_37SG_S580_L001_R1_001.fastq.gz,F23_37SG_S580_L001_R2_001.fastq.gz,Feb_2023,37,SG,S,G,,N+P,,
F23_37SI_S582_L001_R1_001.fastq.gz,F23_37SI_S582_L001_R2_001.fastq.gz,Feb_2023,37,SI,S,I,,N+P,,
F23_37SSG_S581_L001_R1_001.fastq.gz,F23_37SSG_S581_L001_R2_001.fastq.gz,Feb_2023,37,SSG,SS,G,,N+P,,
F23_37SSI_S583_L001_R1_001.fastq.gz,F23_37SSI_S583_L001_R2_001.fastq.gz,Feb_2023,37,SSI,SS,I,,N+P,,
F23_3SG_S492_L001_R1_001.fastq.gz,F23_3SG_S492_L001_R2_001.fastq.gz,Feb_2023,3,SG,S,G,,Water,,
F23_3SI_S494_L001_R1_001.fastq.gz,F23_3SI_S494_L001_R2_001.fastq.gz,Feb_2023,3,SI,S,I,,Water,,
F23_3SSG_S493_L001_R1_001.fastq.gz,F23_3SSG_S493_L001_R2_001.fastq.gz,Feb_2023,3,SSG,SS,G,,Water,,
F23_3SSI_S495_L001_R1_001.fastq.gz,F23_3SSI_S495_L001_R2_001.fastq.gz,Feb_2023,3,SSI,SS,I,,Water,,
F23_48SG_S584_L001_R1_001.fastq.gz,F23_48SG_S584_L001_R2_001.fastq.gz,Feb_2023,41,SG,S,G,,P+Water,,
F23_48SI_S586_L001_R1_001.fastq.gz,F23_48SI_S586_L001_R2_001.fastq.gz,Feb_2023,41,SI,S,I,,P+Water,,
F23_48SSG_S585_L001_R1_001.fastq.gz,F23_48SSG_S585_L001_R2_001.fastq.gz,Feb_2023,41,SSG,SS,G,,P+Water,,
F23_48SSI_S587_L001_R1_001.fastq.gz,F23_48SSI_S587_L001_R2_001.fastq.gz,Feb_2023,41,SSI,SS,I,,P+Water,,
F23_49SG_S588_L001_R1_001.fastq.gz,F23_49SG_S588_L001_R2_001.fastq.gz,Feb_2023,49,SG,S,G,,P+Water,,
F23_49SI_S590_L001_R1_001.fastq.gz,F23_49SI_S590_L001_R2_001.fastq.gz,Feb_2023,49,SI,S,I,,P+Water,,
F23_49SSG_S589_L001_R1_001.fastq.gz,F23_49SSG_S589_L001_R2_001.fastq.gz,Feb_2023,49,SSG,SS,G,,P+Water,,
F23_49SSI_S591_L001_R1_001.fastq.gz,F23_49SSI_S591_L001_R2_001.fastq.gz,Feb_2023,49,SSI,SS,I,,P+Water,,
F23_4SG_S496_L001_R1_001.fastq.gz,F23_4SG_S496_L001_R2_001.fastq.gz,Feb_2023,4,SG,S,G,,N+P+Water,,
F23_4SI_S498_L001_R1_001.fastq.gz,F23_4SI_S498_L001_R2_001.fastq.gz,Feb_2023,4,SI,S,I,,N+P+Water,,
F23_4SSG_S497_L001_R1_001.fastq.gz,F23_4SSG_S497_L001_R2_001.fastq.gz,Feb_2023,4,SSG,SS,G,,N+P+Water,,
F23_4SSI_S499_L001_R1_001.fastq.gz,F23_4SSI_S499_L001_R2_001.fastq.gz,Feb_2023,4,SSI,SS,I,,N+P+Water,,
F23_52SG_S592_L001_R1_001.fastq.gz,F23_52SG_S592_L001_R2_001.fastq.gz,Feb_2023,52,SG,S,G,,N+P,,
F23_52SI_S594_L001_R1_001.fastq.gz,F23_52SI_S594_L001_R2_001.fastq.gz,Feb_2023,52,SI,S,I,,N+P,,
F23_52SSG_S593_L001_R1_001.fastq.gz,F23_52SSG_S593_L001_R2_001.fastq.gz,Feb_2023,52,SSG,SS,G,,N+P,,
F23_52SSI_S595_L001_R1_001.fastq.gz,F23_52SSI_S595_L001_R2_001.fastq.gz,Feb_2023,52,SSI,SS,I,,N+P,,
F23_53SG_S596_L001_R1_001.fastq.gz,F23_53SG_S596_L001_R2_001.fastq.gz,Feb_2023,53,SG,S,G,,Control,,
F23_53SI_S598_L001_R1_001.fastq.gz,F23_53SI_S598_L001_R2_001.fastq.gz,Feb_2023,53,SI,S,I,,Control,,
F23_53SSG_S597_L001_R1_001.fastq.gz,F23_53SSG_S597_L001_R2_001.fastq.gz,Feb_2023,53,SSG,SS,G,,Control,,
F23_53SSI_S599_L001_R1_001.fastq.gz,F23_53SSI_S599_L001_R2_001.fastq.gz,Feb_2023,53,SSI,SS,I,,Control,,
F23_54SG_S600_L001_R1_001.fastq.gz,F23_54SG_S600_L001_R2_001.fastq.gz,Feb_2023,54,SG,S,G,,N+P,,
F23_54SI_S602_L001_R1_001.fastq.gz,F23_54SI_S602_L001_R2_001.fastq.gz,Feb_2023,54,SI,S,I,,N+P,,
F23_54SSG_S601_L001_R1_001.fastq.gz,F23_54SSG_S601_L001_R2_001.fastq.gz,Feb_2023,54,SSG,SS,G,,N+P,,
F23_54SSI_S603_L001_R1_001.fastq.gz,F23_54SSI_S603_L001_R2_001.fastq.gz,Feb_2023,54,SSI,SS,I,,N+P,,
F23_55SG_S604_L001_R1_001.fastq.gz,F23_55SG_S604_L001_R2_001.fastq.gz,Feb_2023,55,SG,S,G,,N,,
F23_55SI_S606_L001_R1_001.fastq.gz,F23_55SI_S606_L001_R2_001.fastq.gz,Feb_2023,55,SI,S,I,,N,,
F23_55SSG_S605_L001_R1_001.fastq.gz,F23_55SSG_S605_L001_R2_001.fastq.gz,Feb_2023,55,SSG,SS,G,,N,,
F23_55SSI_S607_L001_R1_001.fastq.gz,F23_55SSI_S607_L001_R2_001.fastq.gz,Feb_2023,55,SSI,SS,I,,N,,
F23_56SG_S608_L001_R1_001.fastq.gz,F23_56SG_S608_L001_R2_001.fastq.gz,Feb_2023,56,SG,S,G,,N,,
F23_56SI_S610_L001_R1_001.fastq.gz,F23_56SI_S610_L001_R2_001.fastq.gz,Feb_2023,56,SI,S,I,,N,,
F23_56SSG_S609_L001_R1_001.fastq.gz,F23_56SSG_S609_L001_R2_001.fastq.gz,Feb_2023,56,SSG,SS,G,,N,,
F23_56SSI_S611_L001_R1_001.fastq.gz,F23_56SSI_S611_L001_R2_001.fastq.gz,Feb_2023,56,SSI,SS,I,,N,,
F23_57SG_S612_L001_R1_001.fastq.gz,F23_57SG_S612_L001_R2_001.fastq.gz,Feb_2023,57,SG,S,G,,P,,
F23_57SI_S614_L001_R1_001.fastq.gz,F23_57SI_S614_L001_R2_001.fastq.gz,Feb_2023,57,SI,S,I,,P,,
F23_57SSG_S613_L001_R1_001.fastq.gz,F23_57SSG_S613_L001_R2_001.fastq.gz,Feb_2023,57,SSG,SS,G,,P,,
F23_57SSI_S615_L001_R1_001.fastq.gz,F23_57SSI_S615_L001_R2_001.fastq.gz,Feb_2023,57,SSI,SS,I,,P,,
F23_58SG_S616_L001_R1_001.fastq.gz,F23_58SG_S616_L001_R2_001.fastq.gz,Feb_2023,58,SG,S,G,,Control,,
F23_58SI_S618_L001_R1_001.fastq.gz,F23_58SI_S618_L001_R2_001.fastq.gz,Feb_2023,58,SI,S,I,,Control,,
F23_58SSG_S617_L001_R1_001.fastq.gz,F23_58SSG_S617_L001_R2_001.fastq.gz,Feb_2023,58,SSG,SS,G,,Control,,
F23_58SSI_S619_L001_R1_001.fastq.gz,F23_58SSI_S619_L001_R2_001.fastq.gz,Feb_2023,58,SSI,SS,I,,Control,,
F23_59SG_S620_L001_R1_001.fastq.gz,F23_59SG_S620_L001_R2_001.fastq.gz,Feb_2023,59,SG,S,G,,Water,,
F23_59SI_S622_L001_R1_001.fastq.gz,F23_59SI_S622_L001_R2_001.fastq.gz,Feb_2023,59,SI,S,I,,Water,,
F23_59SSG_S621_L001_R1_001.fastq.gz,F23_59SSG_S621_L001_R2_001.fastq.gz,Feb_2023,59,SSG,SS,G,,Water,,
F23_59SSI_S623_L001_R1_001.fastq.gz,F23_59SSI_S623_L001_R2_001.fastq.gz,Feb_2023,59,SSI,SS,I,,Water,,
F23_5SG_S500_L001_R1_001.fastq.gz,F23_5SG_S500_L001_R2_001.fastq.gz,Feb_2023,5,SG,S,G,,Water,,
F23_5SI_S502_L001_R1_001.fastq.gz,F23_5SI_S502_L001_R2_001.fastq.gz,Feb_2023,5,SI,S,I,,Water,,
F23_5SSG_S501_L001_R1_001.fastq.gz,F23_5SSG_S501_L001_R2_001.fastq.gz,Feb_2023,5,SSG,SS,G,,Water,,
F23_5SSI_S503_L001_R1_001.fastq.gz,F23_5SSI_S503_L001_R2_001.fastq.gz,Feb_2023,5,SSI,SS,I,,Water,,
F23_60SG_S624_L001_R1_001.fastq.gz,F23_60SG_S624_L001_R2_001.fastq.gz,Feb_2023,60,SG,S,G,,N+P+Water,,
F23_60SI_S626_L001_R1_001.fastq.gz,F23_60SI_S626_L001_R2_001.fastq.gz,Feb_2023,60,SI,S,I,,N+P+Water,,
F23_60SSG_S625_L001_R1_001.fastq.gz,F23_60SSG_S625_L001_R2_001.fastq.gz,Feb_2023,60,SSG,SS,G,,N+P+Water,,
F23_60SSI_S627_L001_R1_001.fastq.gz,F23_60SSI_S627_L001_R2_001.fastq.gz,Feb_2023,60,SSI,SS,I,,N+P+Water,,
F23_61SG_S628_L001_R1_001.fastq.gz,F23_61SG_S628_L001_R2_001.fastq.gz,Feb_2023,61,SG,S,G,,N+P,,
F23_61SI_S630_L001_R1_001.fastq.gz,F23_61SI_S630_L001_R2_001.fastq.gz,Feb_2023,61,SI,S,I,,N+P,,
F23_61SSG_S629_L001_R1_001.fastq.gz,F23_61SSG_S629_L001_R2_001.fastq.gz,Feb_2023,61,SSG,SS,G,,N+P,,
F23_61SSI_S631_L001_R1_001.fastq.gz,F23_61SSI_S631_L001_R2_001.fastq.gz,Feb_2023,61,SSI,SS,I,,N+P,,
F23_62SG_S632_L001_R1_001.fastq.gz,F23_62SG_S632_L001_R2_001.fastq.gz,Feb_2023,62,SG,S,G,,N+Water,,
F23_62SI_S634_L001_R1_001.fastq.gz,F23_62SI_S634_L001_R2_001.fastq.gz,Feb_2023,62,SI,S,I,,N+Water,,
F23_62SSG_S633_L001_R1_001.fastq.gz,F23_62SSG_S633_L001_R2_001.fastq.gz,Feb_2023,62,SSG,SS,G,,N+Water,,
F23_62SSI_S635_L001_R1_001.fastq.gz,F23_62SSI_S635_L001_R2_001.fastq.gz,Feb_2023,62,SSI,SS,I,,N+Water,,
F23_63SG_S636_L001_R1_001.fastq.gz,F23_63SG_S636_L001_R2_001.fastq.gz,Feb_2023,63,SG,S,G,,N,,
F23_63SI_S638_L001_R1_001.fastq.gz,F23_63SI_S638_L001_R2_001.fastq.gz,Feb_2023,63,SI,S,I,,N,,
F23_63SSG_S637_L001_R1_001.fastq.gz,F23_63SSG_S637_L001_R2_001.fastq.gz,Feb_2023,63,SSG,SS,G,,N,,
F23_63SSI_S639_L001_R1_001.fastq.gz,F23_63SSI_S639_L001_R2_001.fastq.gz,Feb_2023,63,SSI,SS,I,,N,,
F23_64SG_S640_L001_R1_001.fastq.gz,F23_64SG_S640_L001_R2_001.fastq.gz,Feb_2023,64,SG,S,G,,P+Water,,
F23_64SI_S642_L001_R1_001.fastq.gz,F23_64SI_S642_L001_R2_001.fastq.gz,Feb_2023,64,SI,S,I,,P+Water,,
F23_64SSG_S641_L001_R1_001.fastq.gz,F23_64SSG_S641_L001_R2_001.fastq.gz,Feb_2023,64,SSG,SS,G,,P+Water,,
F23_64SSI_S643_L001_R1_001.fastq.gz,F23_64SSI_S643_L001_R2_001.fastq.gz,Feb_2023,64,SSI,SS,I,,P+Water,,
F23_6SG_S504_L001_R1_001.fastq.gz,F23_6SG_S504_L001_R2_001.fastq.gz,Feb_2023,6,SG,S,G,,N+P+Water,,
F23_6SI_S506_L001_R1_001.fastq.gz,F23_6SI_S506_L001_R2_001.fastq.gz,Feb_2023,6,SI,S,I,,N+P+Water,,
F23_6SSG_S505_L001_R1_001.fastq.gz,F23_6SSG_S505_L001_R2_001.fastq.gz,Feb_2023,6,SSG,SS,G,,N+P+Water,,
F23_6SSI_S507_L001_R1_001.fastq.gz,F23_6SSI_S507_L001_R2_001.fastq.gz,Feb_2023,6,SSI,SS,I,,N+P+Water,,
F23_7SG_S508_L001_R1_001.fastq.gz,F23_7SG_S508_L001_R2_001.fastq.gz,Feb_2023,7,SG,S,G,,P,,
F23_7SI_S510_L001_R1_001.fastq.gz,F23_7SI_S510_L001_R2_001.fastq.gz,Feb_2023,7,SI,S,I,,P,,
F23_7SSG_S509_L001_R1_001.fastq.gz,F23_7SSG_S509_L001_R2_001.fastq.gz,Feb_2023,7,SSG,SS,G,,P,,
F23_7SSI_S511_L001_R1_001.fastq.gz,F23_7SSI_S511_L001_R2_001.fastq.gz,Feb_2023,7,SSI,SS,I,,P,,
F23_8SG_S512_L001_R1_001.fastq.gz,F23_8SG_S512_L001_R2_001.fastq.gz,Feb_2023,8,SG,S,G,,P,,
F23_8SI_S514_L001_R1_001.fastq.gz,F23_8SI_S514_L001_R2_001.fastq.gz,Feb_2023,8,SI,S,I,,P,,
F23_8SSG_S513_L001_R1_001.fastq.gz,F23_8SSG_S513_L001_R2_001.fastq.gz,Feb_2023,8,SSG,SS,G,,P,,
F23_8SSI_S515_L001_R1_001.fastq.gz,F23_8SSI_S515_L001_R2_001.fastq.gz,Feb_2023,8,SSI,SS,I,,P,,
F23_9SG_S516_L001_R1_001.fastq.gz,F23_9SG_S516_L001_R2_001.fastq.gz,Feb_2023,9,SG,S,G,,N+Water,,
F23_9SI_S518_L001_R1_001.fastq.gz,F23_9SI_S518_L001_R2_001.fastq.gz,Feb_2023,9,SI,S,I,,N+Water,,
F23_9SSG_S517_L001_R1_001.fastq.gz,F23_9SSG_S517_L001_R2_001.fastq.gz,Feb_2023,9,SSG,SS,G,,N+Water,,
F23_9SSI_S519_L001_R1_001.fastq.gz,F23_9SSI_S519_L001_R2_001.fastq.gz,Feb_2023,9,SSI,SS,I,,N+Water,,
F24_10SG_S680_L001_R1_001.fastq.gz,F24_10SG_S680_L001_R2_001.fastq.gz,Feb_2024,10,SG,S,G,,N+Water,,
F24_10SI_S682_L001_R1_001.fastq.gz,F24_10SI_S682_L001_R2_001.fastq.gz,Feb_2024,10,SI,S,I,,N+Water,,
F24_10SSG_S681_L001_R1_001.fastq.gz,F24_10SSG_S681_L001_R2_001.fastq.gz,Feb_2024,10,SSG,SS,G,,N+Water,,
F24_10SSI_S683_L001_R1_001.fastq.gz,F24_10SSI_S683_L001_R2_001.fastq.gz,Feb_2024,10,SSI,SS,I,,N+Water,,
F24_11SG_S684_L001_R1_001.fastq.gz,F24_11SG_S684_L001_R2_001.fastq.gz,Feb_2024,11,SG,S,G,,Water,,
F24_11SI_S686_L001_R1_001.fastq.gz,F24_11SI_S686_L001_R2_001.fastq.gz,Feb_2024,11,SI,S,I,,Water,,
F24_11SSG_S685_L001_R1_001.fastq.gz,F24_11SSG_S685_L001_R2_001.fastq.gz,Feb_2024,11,SSG,SS,G,,Water,,
F24_11SSI_S687_L001_R1_001.fastq.gz,F24_11SSI_S687_L001_R2_001.fastq.gz,Feb_2024,11,SSI,SS,I,,Water,,
F24_12SG_S688_L001_R1_001.fastq.gz,F24_12SG_S688_L001_R2_001.fastq.gz,Feb_2024,12,SG,S,G,,Control,,
F24_12SI_S690_L001_R1_001.fastq.gz,F24_12SI_S690_L001_R2_001.fastq.gz,Feb_2024,12,SI,S,I,,Control,,
F24_12SSG_S689_L001_R1_001.fastq.gz,F24_12SSG_S689_L001_R2_001.fastq.gz,Feb_2024,12,SSG,SS,G,,Control,,
F24_12SSI_S691_L001_R1_001.fastq.gz,F24_12SSI_S691_L001_R2_001.fastq.gz,Feb_2024,12,SSI,SS,I,,Control,,
F24_13ASG_S692_L001_R1_001.fastq.gz,F24_13ASG_S692_L001_R2_001.fastq.gz,Feb_2024,13,SG,S,G,,N,,
F24_13BSG_S693_L001_R1_001.fastq.gz,F24_13BSG_S693_L001_R2_001.fastq.gz,Feb_2024,13,SG,S,G,,N,,
F24_13SI_S695_L001_R1_001.fastq.gz,F24_13SI_S695_L001_R2_001.fastq.gz,Feb_2024,13,SI,S,I,,N,,
F24_13SSG_S694_L001_R1_001.fastq.gz,F24_13SSG_S694_L001_R2_001.fastq.gz,Feb_2024,13,SSG,SS,G,,N,,
F24_14SG_S696_L001_R1_001.fastq.gz,F24_14SG_S696_L001_R2_001.fastq.gz,Feb_2024,14,SG,S,G,,Control,,
F24_14SI_S698_L001_R1_001.fastq.gz,F24_14SI_S698_L001_R2_001.fastq.gz,Feb_2024,14,SI,S,I,,Control,,
F24_14SSG_S697_L001_R1_001.fastq.gz,F24_14SSG_S697_L001_R2_001.fastq.gz,Feb_2024,14,SSG,SS,G,,Control,,
F24_14SSI_S699_L001_R1_001.fastq.gz,F24_14SSI_S699_L001_R2_001.fastq.gz,Feb_2024,14,SSI,SS,I,,Control,,
F24_15SG_S700_L001_R1_001.fastq.gz,F24_15SG_S700_L001_R2_001.fastq.gz,Feb_2024,15,SG,S,G,,Water,,
F24_15SI_S702_L001_R1_001.fastq.gz,F24_15SI_S702_L001_R2_001.fastq.gz,Feb_2024,15,SI,S,I,,Water,,
F24_15SSG_S701_L001_R1_001.fastq.gz,F24_15SSG_S701_L001_R2_001.fastq.gz,Feb_2024,15,SSG,SS,G,,Water,,
F24_15SSI_S703_L001_R1_001.fastq.gz,F24_15SSI_S703_L001_R2_001.fastq.gz,Feb_2024,15,SSI,SS,I,,Water,,
F24_16SG_S704_L001_R1_001.fastq.gz,F24_16SG_S704_L001_R2_001.fastq.gz,Feb_2024,16,SG,S,G,,N+P+Water,,
F24_16SI_S706_L001_R1_001.fastq.gz,F24_16SI_S706_L001_R2_001.fastq.gz,Feb_2024,16,SI,S,I,,N+P+Water,,
F24_16SSG_S705_L001_R1_001.fastq.gz,F24_16SSG_S705_L001_R2_001.fastq.gz,Feb_2024,16,SSG,SS,G,,N+P+Water,,
F24_16SSI_S707_L001_R1_001.fastq.gz,F24_16SSI_S707_L001_R2_001.fastq.gz,Feb_2024,16,SSI,SS,I,,N+P+Water,,
F24_1SG_S644_L001_R1_001.fastq.gz,F24_1SG_S644_L001_R2_001.fastq.gz,Feb_2024,1,SG,S,G,,N+P+Water,,
F24_1SI_S646_L001_R1_001.fastq.gz,F24_1SI_S646_L001_R2_001.fastq.gz,Feb_2024,1,SI,S,I,,N+P+Water,,
F24_1SSG_S645_L001_R1_001.fastq.gz,F24_1SSG_S645_L001_R2_001.fastq.gz,Feb_2024,1,SSG,SS,G,,N+P+Water,,
F24_1SSI_S647_L001_R1_001.fastq.gz,F24_1SSI_S647_L001_R2_001.fastq.gz,Feb_2024,1,SSI,SS,I,,N+P+Water,,
F24_20SG_S708_L001_R1_001.fastq.gz,F24_20SG_S708_L001_R2_001.fastq.gz,Feb_2024,20,SG,S,G,,P+Water,,
F24_20SI_S710_L001_R1_001.fastq.gz,F24_20SI_S710_L001_R2_001.fastq.gz,Feb_2024,20,SI,S,I,,P+Water,,
F24_20SSG_S709_L001_R1_001.fastq.gz,F24_20SSG_S709_L001_R2_001.fastq.gz,Feb_2024,20,SSG,SS,G,,P+Water,,
F24_20SSI_S711_L001_R1_001.fastq.gz,F24_20SSI_S711_L001_R2_001.fastq.gz,Feb_2024,20,SSI,SS,I,,P+Water,,
F24_24SG_S712_L001_R1_001.fastq.gz,F24_24SG_S712_L001_R2_001.fastq.gz,Feb_2024,24,SG,S,G,,N+P,,
F24_24SI_S714_L001_R1_001.fastq.gz,F24_24SI_S714_L001_R2_001.fastq.gz,Feb_2024,24,SI,S,I,,N+P,,
F24_24SSG_S713_L001_R1_001.fastq.gz,F24_24SSG_S713_L001_R2_001.fastq.gz,Feb_2024,24,SSG,SS,G,,N+P,,
F24_24SSI_S715_L001_R1_001.fastq.gz,F24_24SSI_S715_L001_R2_001.fastq.gz,Feb_2024,24,SSI,SS,I,,N+P,,
F24_28SG_S716_L001_R1_001.fastq.gz,F24_28SG_S716_L001_R2_001.fastq.gz,Feb_2024,28,SG,S,G,,N+Water,,
F24_28SI_S718_L001_R1_001.fastq.gz,F24_28SI_S718_L001_R2_001.fastq.gz,Feb_2024,28,SI,S,I,,N+Water,,
F24_28SSG_S717_L001_R1_001.fastq.gz,F24_28SSG_S717_L001_R2_001.fastq.gz,Feb_2024,28,SSG,SS,G,,N+Water,,
F24_28SSI_S719_L001_R1_001.fastq.gz,F24_28SSI_S719_L001_R2_001.fastq.gz,Feb_2024,28,SSI,SS,I,,N+Water,,
F24_29SG_S720_L001_R1_001.fastq.gz,F24_29SG_S720_L001_R2_001.fastq.gz,Feb_2024,29,SG,S,G,,P,,
F24_29SI_S722_L001_R1_001.fastq.gz,F24_29SI_S722_L001_R2_001.fastq.gz,Feb_2024,29,SI,S,I,,P,,
F24_29SSG_S721_L001_R1_001.fastq.gz,F24_29SSG_S721_L001_R2_001.fastq.gz,Feb_2024,29,SSG,SS,G,,P,,
F24_29SSI_S723_L001_R1_001.fastq.gz,F24_29SSI_S723_L001_R2_001.fastq.gz,Feb_2024,29,SSI,SS,I,,P,,
F24_2SG_S648_L001_R1_001.fastq.gz,F24_2SG_S648_L001_R2_001.fastq.gz,Feb_2024,2,SG,S,G,,P,,
F24_2SI_S650_L001_R1_001.fastq.gz,F24_2SI_S650_L001_R2_001.fastq.gz,Feb_2024,2,SI,S,I,,P,,
F24_2SSG_S649_L001_R1_001.fastq.gz,F24_2SSG_S649_L001_R2_001.fastq.gz,Feb_2024,2,SSG,SS,G,,P,,
F24_2SSI_S651_L001_R1_001.fastq.gz,F24_2SSI_S651_L001_R2_001.fastq.gz,Feb_2024,2,SSI,SS,I,,P,,
F24_31SG_S724_L001_R1_001.fastq.gz,F24_31SG_S724_L001_R2_001.fastq.gz,Feb_2024,31,SG,S,G,,N+Water,,
F24_31SI_S726_L001_R1_001.fastq.gz,F24_31SI_S726_L001_R2_001.fastq.gz,Feb_2024,31,SI,S,I,,N+Water,,
F24_31SSG_S725_L001_R1_001.fastq.gz,F24_31SSG_S725_L001_R2_001.fastq.gz,Feb_2024,31,SSG,SS,G,,N+Water,,
F24_31SSI_S727_L001_R1_001.fastq.gz,F24_31SSI_S727_L001_R2_001.fastq.gz,Feb_2024,31,SSI,SS,I,,N+Water,,
F24_34SG_S728_L001_R1_001.fastq.gz,F24_34SG_S728_L001_R2_001.fastq.gz,Feb_2024,34,SG,S,G,,N,,
F24_34SI_S730_L001_R1_001.fastq.gz,F24_34SI_S730_L001_R2_001.fastq.gz,Feb_2024,34,SI,S,I,,N,,
F24_34SSG_S729_L001_R1_001.fastq.gz,F24_34SSG_S729_L001_R2_001.fastq.gz,Feb_2024,34,SSG,SS,G,,N,,
F24_34SSI_S731_L001_R1_001.fastq.gz,F24_34SSI_S731_L001_R2_001.fastq.gz,Feb_2024,34,SSI,SS,I,,N,,
F24_35SG_S732_L001_R1_001.fastq.gz,F24_35SG_S732_L001_R2_001.fastq.gz,Feb_2024,35,SG,S,G,not a complete set,Control,,
F24_35SI_S734_L001_R1_001.fastq.gz,F24_35SI_S734_L001_R2_001.fastq.gz,Feb_2024,35,SI,S,I,not a complete set,Control,,
F24_36SG_S736_L001_R1_001.fastq.gz,F24_36SG_S736_L001_R2_001.fastq.gz,Feb_2024,36,SG,S,G,,P+Water,,
F24_36SI_S738_L001_R1_001.fastq.gz,F24_36SI_S738_L001_R2_001.fastq.gz,Feb_2024,36,SI,S,I,,P+Water,,
F24_36SSG_S737_L001_R1_001.fastq.gz,F24_36SSG_S737_L001_R2_001.fastq.gz,Feb_2024,36,SSG,SS,G,,P+Water,,
F24_36SSI_S739_L001_R1_001.fastq.gz,F24_36SSI_S739_L001_R2_001.fastq.gz,Feb_2024,36,SSI,SS,I,,P+Water,,
F24_37SG_S740_L001_R1_001.fastq.gz,F24_37SG_S740_L001_R2_001.fastq.gz,Feb_2024,37,SG,S,G,,N+P,,
F24_37SI_S742_L001_R1_001.fastq.gz,F24_37SI_S742_L001_R2_001.fastq.gz,Feb_2024,37,SI,S,I,,N+P,,
F24_37SSG_S741_L001_R1_001.fastq.gz,F24_37SSG_S741_L001_R2_001.fastq.gz,Feb_2024,37,SSG,SS,G,,N+P,,
F24_37SSI_S743_L001_R1_001.fastq.gz,F24_37SSI_S743_L001_R2_001.fastq.gz,Feb_2024,37,SSI,SS,I,,N+P,,
F24_3SG_S652_L001_R1_001.fastq.gz,F24_3SG_S652_L001_R2_001.fastq.gz,Feb_2024,3,SG,S,G,,Water,,
F24_3SI_S654_L001_R1_001.fastq.gz,F24_3SI_S654_L001_R2_001.fastq.gz,Feb_2024,3,SI,S,I,,Water,,
F24_3SSG_S653_L001_R1_001.fastq.gz,F24_3SSG_S653_L001_R2_001.fastq.gz,Feb_2024,3,SSG,SS,G,,Water,,
F24_3SSI_S655_L001_R1_001.fastq.gz,F24_3SSI_S655_L001_R2_001.fastq.gz,Feb_2024,3,SSI,SS,I,,Water,,
F24_41SG_S744_L001_R1_001.fastq.gz,F24_41SG_S744_L001_R2_001.fastq.gz,Feb_2024,41,SG,S,G,,P+Water,,
F24_41SI_S746_L001_R1_001.fastq.gz,F24_41SI_S746_L001_R2_001.fastq.gz,Feb_2024,41,SI,S,I,,P+Water,,
F24_41SSG_S745_L001_R1_001.fastq.gz,F24_41SSG_S745_L001_R2_001.fastq.gz,Feb_2024,41,SSG,SS,G,,P+Water,,
F24_41SSI_S747_L001_R1_001.fastq.gz,F24_41SSI_S747_L001_R2_001.fastq.gz,Feb_2024,41,SSI,SS,I,,P+Water,,
F24_49SG_S748_L001_R1_001.fastq.gz,F24_49SG_S748_L001_R2_001.fastq.gz,Feb_2024,49,SG,S,G,,P+Water,,
F24_49SI_S750_L001_R1_001.fastq.gz,F24_49SI_S750_L001_R2_001.fastq.gz,Feb_2024,49,SI,S,I,,P+Water,,
F24_49SSG_S749_L001_R1_001.fastq.gz,F24_49SSG_S749_L001_R2_001.fastq.gz,Feb_2024,49,SSG,SS,G,,P+Water,,
